TYPE;TEMPLATE_ID;FUNCION_SQL;DATABASE
SELECT;LT_20160317110510;"SELECT F1 FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160408144640;"SELECT F1,F2 FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160414115020;"SELECT CUSTSN  FROM CARD.SNMFGCUST WHERE PART_CODE = ' & #PART_CODE#$ & ""' AND ETIQUETA = '"" & SERIAL_ENTRADA$ & ""'";CARDS_PR
SELECT;LT_20160502130222;"SELECT REVISION FROM CARD.CPARTCODE WHERE PARTCODE= ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160502130222;"SELECT PN_CLIENTE FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE= ' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20160519110333;"SELECT PNCORP FROM CARD.LABEL_I1 WHERE LABEL_ID = ' & REPLACE(VARIABLE_1$,""1D"","""") & ""'";CARDS_PR
SELECT;LT_20160519110333;"SELECT PURORD FROM CARD.LABEL_I1 WHERE LABEL_ID = ' & REPLACE(VARIABLE_1$,""1D"","""") & ""'";CARDS_PR
SELECT;LT_20160519110333;"SELECT DATE_CODE FROM CARD.LABEL_I1 WHERE LABEL_ID = ' & REPLACE(VARIABLE_1$,""1D"","""") & ""'";CARDS_PR
SELECT;LT_20160629144203;"SELECT F1 FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160629144203;"SELECT F2 FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160704153930;"SELECT F1 FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160704153930;"SELECT F2 FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160711145638;"SELECT PNCORP,TRACE_CODE_LOTE FROM CARD.LABEL_I1  WHERE LABEL_ID = ' & RIGHT(ID_LABEL$,LEN(ID_LABEL$) - 2) & ""'";CARDS_PR
SELECT;LT_20160711165125;"SELECT CUSTSN,PART_CODE,FAMILIA FROM CARD.SNMFGCUST WHERE ETIQUETA = ' & SERIAL_ENTRADA$ & ""'";CARDS_PR
SELECT;LT_20160711165125;"SELECT PN_CLIENTE FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE = ' & PCODE$ & ""'";ELAB_PR
SELECT;LT_20160711165125;"SELECT STATUS FROM CARD.CIQSSFC WHERE ETIQUETA = ' & SERIAL_ENTRADA$ & ""' AND SPROD IN ('0230','P230') AND STATUS = 'P'";CARDS_PR
SELECT;LT_20160719160421;"SELECT PART_CODE FROM CARD.SNMFGCUST WHERE ETIQUETA = ' & SERIAL_ENTRADA$ & ""'";CARDS_PR
SELECT;LT_20160719160421;"SELECT CUSTSN FROM CARD.IMEIV WHERE ETIQUETA = ' & SERIAL_ENTRADA$ & ""'";CARDS_PR
SELECT;LT_20160725111343;"SELECT REVISION,F2 FROM CARD.CPARTCODE WHERE PARTCODE=' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160725111343;"SELECT PN_CLIENTE FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE=' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20160725141616;"SELECT F2,HCUSTSN,F1 FROM CARD.CPARTCODE WHERE PARTCODE=' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160726121251;"SELECT REVISION FROM CARD.CPARTCODE WHERE PARTCODE=' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160726121251;"SELECT PN_CLIENTE FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE=' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20160726121251;"SELECT CUSTSN,PART_CODE,P1 FROM CARD.SNMFGCUST WHERE ETIQUETA = ' & SERIAL_ENTRADA$ & ""'";CARDS_PR
INSERT_UPDATE;LT_20160726121251;"UPDATE CARD.SNMFGCUST SET P1=' & ANO_SEMANA$ & ""',F_ARCHIVO='1' WHERE ETIQUETA='"" & SERIAL_ENTRADA$ & ""'";CARDS_PR
SELECT;LT_20160920153311;"SELECT PNCORP FROM CARD.ANUNCIO WHERE ETIQUETA= ' & VARIABLE_1$ & ""'";CARDS_PR
SELECT;LT_20160921115048;"SELECT PN_CLIENTE FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE=' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20160921115048;"SELECT REVISION FROM CARD.CPARTCODE WHERE PARTCODE =' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160922122840;"SELECT PART_CODE,PN,REVISION,LINEA FROM CARD.HEADER WHERE ETIQUETA= ' & SERIAL$ & ""'";CARDS_PR
SELECT;LT_20160922122840;"SELECT PN,REVISION,FAMILIA FROM CARD.CPARTCODE WHERE PARTCODE= ' & PART_CODE$ & ""'";CARDS_PR
SELECT;LT_20160922122840;"SELECT HCUSTSN FROM CARD.CPARTCODE WHERE PARTCODE = ' & PART_CODE$ & ""'";CARDS_PR
SELECT;LT_20160922122840;"SELECT PARTNUMBER FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE=' & PART_CODE$ & ""'";ELAB_PR
SELECT;LT_20160922122840;"SELECT STATUS FROM CARD.CIQSSFC WHERE ETIQUETA = ' & SERIAL$ & ""' AND SPROD IN ('0230','P230') AND STATUS = 'P'";CARDS_PR
SELECT;LT_20160922122840;"SELECT STATUS FROM CARD.CIQSSFC WHERE ETIQUETA = ' & SERIAL$ & ""' AND SPROD IN ('0230','P230') AND STATUS = 'P'";CARDS_PR
SELECT;LT_20160922122840;"SELECT STATUS FROM CARD.CIQSSFC WHERE ETIQUETA = ' & SERIAL$ & ""' AND SPROD IN ('0230','P230') AND STATUS = 'P'";CARDS_PR
SELECT;LT_20160922122840;"SELECT STATUS FROM CARD.CIQSSFC WHERE ETIQUETA = ' & SERIAL$ & ""' AND SPROD IN ('0230','P230') AND STATUS = 'P'";CARDS_PR
SELECT;LT_20160922122840;"SELECT STATUS FROM CARD.CIQSSFC WHERE ETIQUETA = ' & SERIAL$ & ""' AND SPROD IN ('0230','P230') AND STATUS = 'P'";CARDS_PR
SELECT;LT_20160922122840;"SELECT STATUS FROM CARD.CIQSSFC WHERE ETIQUETA = ' & SERIAL$ & ""' AND SPROD IN ('0230','P230') AND STATUS = 'P'";CARDS_PR
SELECT;LT_20160922122840;"SELECT STATUS FROM CARD.CIQSSFC WHERE ETIQUETA = ' & SERIAL$ & ""' AND SPROD IN ('0230','P230') AND STATUS = 'P'";CARDS_PR
SELECT;LT_20161010172148;"SELECT ECETIQUETA FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE=' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20161013154342;"SELECT IMEI FROM CARD.IMEIV WHERE CUSTSN=' & TELEFONO_SN$ & ""'";CARDS_PR
SELECT;LT_20161013154342;"SELECT REVISION FROM CARD.HEADER WHERE ETIQUETA=' & TELEFONO_SN$ & ""'";CARDS_PR
SELECT;LT_20161013154342;"SELECT PRODUCT_DESC,CUST_PC,EAN_GTIN_13,UPC_GTIN_12 FROM CARD.PNINFO WHERE PNCORP IN (SELECT PN_DECLARADO FROM CARD.CPARTCODE WHERE PARTCODE = ' & P_CODE$ & ""')";CARDS_PR
SELECT;LT_20161013154342;SELECT MEDIDA FROM ELABELS.IMST_BALANZA_LECTURA WHERE TSTAMP >= CURRENT TIMESTAMP - 3 SECOND;ELAB_PR
SELECT;LT_20161013154342;SELECT MEDIDA FROM ELABELS.IMST_BALANZA_LECTURA WHERE TSTAMP >= CURRENT TIMESTAMP - 3 SECOND;ELAB_PR
SELECT;LT_20161013154342;SELECT MEDIDA FROM ELABELS.IMST_BALANZA_LECTURA WHERE TSTAMP >= CURRENT TIMESTAMP - 3 SECOND;ELAB_PR
SELECT;LT_20161013154342;"SELECT SN_CLIENTE,VECES_PESADA FROM ELABELS.IMST_PESADAS WHERE SN_CLIENTE=' & TELEFONO_SN$ & ""'";ELAB_PR
INSERT_UPDATE;LT_20161013154342;UPDATE ELABELS.IMST_BALANZA_LECTURA SET MEDIDA ='';ELAB_PR
INSERT_UPDATE;LT_20161013154342;UPDATE ELABELS.IMST_BALANZA_LECTURA SET MEDIDA ='';ELAB_PR
INSERT_UPDATE;LT_20161013154342;UPDATE ELABELS.IMST_BALANZA_LECTURA SET MEDIDA ='';ELAB_PR
INSERT_UPDATE;LT_20161013154342;"INSERT INTO ELABELS.IMST_PESADAS(DIA_HORA,SN_CLIENTE,PESADA_1,PESADA_2,PESADA_2_DATE,VECES_PESADA) VALUES (CURRENT TIMESTAMP,' &  TELEFONO_SN$ & ""','"" & STR((PESO_NETO%/1000000)) & ""','"" &  STR((PESO_NETO%/1000000)) & ""',CURRENT TIMESTAMP,1)";ELAB_PR
INSERT_UPDATE;LT_20161013154342;"UPDATE ELABELS.IMST_PESADAS SET PESADA_2 = ' & STR((PESO_NETO%/1000000)) & ""', PESADA_2_DATE = CURRENT TIMESTAMP , VECES_PESADA= "" & (STR(VAL(TRIM(GET_RECORD_FIELD(CONSULTA_1$,1,2)))+1)) & "" WHERE SN_CLIENTE='"" & TELEFONO_SN$ & ""'";ELAB_PR
SELECT;LT_20161104125225;"SELECT MAC_ID FROM CARD.IMEIV WHERE CUSTSN=' & CEL_SN$ & ""'";CARDS_PR
SELECT;LT_20161104125225;"SELECT REVISION FROM CARD.HEADER WHERE ETIQUETA=' & CEL_SN$ & ""'";CARDS_PR
SELECT;LT_20161108102255;"SELECT TRIM(HCUSTSN) FROM CARD.CPARTCODE WHERE PARTCODE=' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20161108114422;"SELECT TRIM(PN) FROM CARD.CPARTCODE WHERE PARTCODE=' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20161108120433;"SELECT TRIM(F1) FROM CARD.CPARTCODE WHERE PARTCODE=' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20161108121303;"SELECT TRIM(F2) FROM CARD.CPARTCODE WHERE PARTCODE=' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20161109171446;"SELECT PN,PART_CODE FROM CARD.HEADER WHERE ETIQUETA=' & CEL_SN$ & ""'";CARDS_PR
SELECT;LT_20161109171446;"SELECT CUSTSN FROM CARD.PO_SERIAL WHERE ETIQUETA=' & CEL_SN$ & ""'";CARDS_PR
SELECT;LT_20161109171446;"SELECT CUSTSN,OT,ORDERN FROM CARD.PO_SERIAL WHERE STATUS='1' AND PN=' & PARTNUMBER$ & ""' ORDER BY PN,ORDERN";CARDS_PR
SELECT;LT_20161109171446;"SELECT CUSTSN,OT,ORDERN FROM CARD.PO_SERIAL WHERE STATUS='1' AND PN=' & PARTNUMBER$ & ""' ORDER BY PN,TSTAMP_INICIO";CARDS_PR
INSERT_UPDATE;LT_20161109171446;"UPDATE CARD.PO_SERIAL SET STATUS='0',F_ARCHIVO='1', TSTAMP_ACTUAL=CURRENT TIMESTAMP, ETIQUETA=' & CEL_SN$ & ""' WHERE CUSTSN='"" & TH_SN$ & ""' AND PN='"" & PARTNUMBER$ & ""'";CARDS_PR
INSERT_UPDATE;LT_20161109171446;"UPDATE CARD.HEADER SET F_ARCHIVO='1',ORIGEN= ' & ORIGEN$ & ""' WHERE ETIQUETA='"" & CEL_SN$ & ""'";CARDS_PR
INSERT_UPDATE;LT_20161109171446;"UPDATE CARD.SNMFGCUST SET F_ARCHIVO='1',CUSTSN= ' & TH_SN$ & ""',TSTAMP=CURRENT TIMESTAMP WHERE ETIQUETA='"" & CEL_SN$ & ""'";CARDS_PR
SELECT;LT_20161116103236;"SELECT PRODUCT_NAME,PRODUCT_CODE,LLEVA_IMEI,EAN_GTIN_13,UPC_GTIN_12,MODELO_TELEFONO FROM ELABELS.IMST_CONFIGURATION WHERE PARTCODE =' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20161116103236;"SELECT ETIQUETA,Z_HW_VERSION,PROGRAM_REV FROM CARD.IMEIV WHERE IMEI=' & SN_IMEI$ & ""'";CARDS_PR
SELECT;LT_20161116143726;"SELECT PRODUCT_NAME,PRODUCT_CODE,MC_GTIN_14 FROM ELABELS.IMST_CONFIGURATION WHERE PARTCODE =' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20161116143726;"SELECT MAX(ETIQUETA) FROM CARD.NUMCAJA WHERE CAJA = ' & SN_CONTAINER$ & ""'";CARDS_PR
SELECT;LT_20161116143726;"SELECT Z_HW_VERSION,PROGRAM_REV FROM CARD.IMEIV WHERE CUSTSN = ' & SN_CELESTICA$ & ""'";CARDS_PR
SELECT;LT_20161116143726;"SELECT PEDIDO FROM CARD.CONTAINER WHERE CODIGO=' & SN_CONTAINER$ & ""'";CARDS_PR
SELECT;LT_20161116143726;"SELECT CUSTOMERPO FROM CARDV.ORDERS WHERE PEDIDO=' & PEDIDO$ & ""'";CARDS_PR
SELECT;LT_20161123143606;"SELECT PRODUCT_NAME,PRODUCT_CODE,MC_GTIN_14 FROM ELABELS.IMST_CONFIGURATION WHERE PARTCODE =' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20161123143606;"SELECT ETIQUETA FROM CARD.NUMCAJA WHERE CAJA = ' & SN_CONTAINER$ & ""' ORDER BY ETIQUETA";CARDS_PR
SELECT;LT_20161123143606;"SELECT IMEI FROM CARD.IMEIV WHERE ETIQUETA = ' & TRIM(GET_RECORD_FIELD(CONSULTA_1$,I%,1))  & ""'";CARDS_PR
SELECT;LT_20161123143606;"SELECT REVISION FROM CARD.HEADER WHERE ETIQUETA=' & SN_CELESTICA$ & ""'";CARDS_PR
SELECT;LT_20161123143606;"SELECT PEDIDO FROM CARD.CONTAINER WHERE CODIGO=' & SN_CONTAINER$ & ""'";CARDS_PR
SELECT;LT_20161123143606;"SELECT CUSTOMERPO FROM CARDV.ORDERS WHERE PEDIDO=' & PEDIDO$ & ""'";CARDS_PR
SELECT;LT_20161229125603;"SELECT ETIQUETA,PARTNUMBER,PN_CLIENTE,CLIENTE,ECETIQUETA,PCODEREV,BLQ_ETIQ FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE=' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20161229125603;"SELECT TRIM(FAMILIA) FROM CARD.CPARTCODE WHERE PARTCODE=' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20161229125603;"SELECT RIGHT(YEAR(DIA_HORA),2),TRIM(NUMSERIEHASTA) FROM ELABELS.ALL_ETIQUETAS WHERE PARTCODE=' & #PART_CODE#$ & ""' AND REPETIDA='NO' ORDER BY DIA_HORA";ELAB_PR
SELECT;LT_20161229125603;"SELECT TRIM(NUMSERIEHASTA) FROM ELABELS.ALL_ETIQUETAS WHERE PARTCODE=' & #PART_CODE#$ & ""' AND RIGHT(YEAR(DIA_HORA),1)=RIGHT(YEAR(CURRENT TIMESTAMP),1) AND YEAR(DIA_HORA)<>YEAR(CURRENT TIMESTAMP) AND REPETIDA='NO' ORDER BY DIA_HORA";ELAB_PR
SELECT;LT_20161229125603;"SELECT CONTADOR FROM ELABELS.ETIQUETAS_LOG WHERE PART_CODE = ' & #PART_CODE#$ & ""' AND TEMPLATE_ID = '"" & #TEMPLATE_ID#$ & ""' AND RIGHT(YEAR(TSTAMP),1)=RIGHT(YEAR(CURRENT TIMESTAMP),1) AND YEAR(TSTAMP)<>YEAR(CURRENT TIMESTAMP) AND (LOG_STATUS='O' OR LOG_STATUS='C') ORDER BY CONTADOR";ELAB_PR
SELECT;LT_20161229125603;"SELECT TRIM(ETIQUETA) FROM CARD.SNMFGCUST WHERE PART_CODE=' & #PART_CODE#$ & ""' AND TRIM(ETIQUETA) = '"" & LAST_CEL_SERIAL$ & ""'";CARDS_PR
SELECT;LT_20161229125603;"SELECT NUMEMP FROM CARD.EMPLYETT WHERE USERID = ' & #USER#$ & ""'";CARDS_PR
INSERT_UPDATE;LT_20161229125603;"INSERT INTO ELABELS.ALL_ETIQUETAS (DIA_HORA,CLIENTE,PARTNUMBER,PARTCODE,NUMSERIEDESDE,NUMSERIEHASTA,CANTIDAD,REPETIDA,REV_INT,EMPLEADO) VALUES (CURRENT TIMESTAMP,' & CLIENTE$ & ""','"" & PARTNUMBER$ & ""','"" & #PART_CODE#$ & ""','"" &  RIGHT(FORMAT(STR(#CONTADOR_LAST#% + 1),""00000""),5) & ""','"" &  RIGHT(FORMAT(STR(#CONTADOR_LAST#% + #QTY_PRINT#%),""00000""),5) & ""',"" & STR(#QTY_PRINT#%) & "",'NO','"" & REVISION_EC$ & ""','"" & N_EMPLEADO$ & ""-F')";ELAB_PR
INSERT_UPDATE;LT_20161229125603;"INSERT INTO CARD.SNMFGCUST (CUSTSN,PART_CODE,ETIQUETA,FAMILIA,CONTADOR,CELDA,USUARIO,TSTAMP,F_ARCHIVO,P1,P2) values (' & CUST_SERIAL$ & ""','"" & #PART_CODE#$ & ""','"" & CEL_SERIAL$ & ""','"" & FAMILIA$ & ""',1,'"" & #COMPUTER#$ & ""','"" & N_EMPLEADO$ & ""',CURRENT TIMESTAMP,'"" & F_ARCHIVO_SNMFGCUST$ & ""','"" & CAMPO_P1$ & ""','"" & CAMPO_P2$ & ""')";CARDS_PR
SELECT;LT_20170109122558;"SELECT IMEI FROM CARD.IMEIV WHERE CUSTSN=' & TELEFONO_SN$ & ""'";CARDS_PR
SELECT;LT_20170109122558;"SELECT REVISION FROM CARD.HEADER WHERE ETIQUETA=' & TELEFONO_SN$ & ""'";CARDS_PR
SELECT;LT_20170109122558;"SELECT PRODUCT_DESC,CUST_PC,EAN_GTIN_13,UPC_GTIN_12 FROM CARD.PNINFO WHERE PNCORP IN (SELECT PN_DECLARADO FROM CARD.CPARTCODE WHERE PARTCODE = ' & P_CODE$ & ""')";CARDS_PR
SELECT;LT_20170109122558;SELECT MEDIDA,TSTAMP,CURRENT TIME FROM ELABELS.IMST_BALANZA_LECTURA;ELAB_PR
SELECT;LT_20170109122558;SELECT MEDIDA,TSTAMP,CURRENT TIME FROM ELABELS.IMST_BALANZA_LECTURA;ELAB_PR
SELECT;LT_20170109122558;SELECT MEDIDA,TSTAMP,CURRENT TIME FROM ELABELS.IMST_BALANZA_LECTURA;ELAB_PR
SELECT;LT_20170109122558;"SELECT SN_CLIENTE,VECES_PESADA FROM ELABELS.IMST_PESADAS WHERE SN_CLIENTE=' & TELEFONO_SN$ & ""'";ELAB_PR
INSERT_UPDATE;LT_20170109122558;UPDATE ELABELS.IMST_BALANZA_LECTURA SET MEDIDA ='';ELAB_PR
INSERT_UPDATE;LT_20170109122558;UPDATE ELABELS.IMST_BALANZA_LECTURA SET MEDIDA ='';ELAB_PR
INSERT_UPDATE;LT_20170109122558;UPDATE ELABELS.IMST_BALANZA_LECTURA SET MEDIDA ='';ELAB_PR
INSERT_UPDATE;LT_20170109122558;"INSERT INTO ELABELS.IMST_PESADAS(DIA_HORA,SN_CLIENTE,PESADA_1,PESADA_2,PESADA_2_DATE,VECES_PESADA) VALUES (CURRENT TIMESTAMP,' &  TELEFONO_SN$ & ""','"" & STR((PESO_NETO%/1000000)) & ""','"" &  STR((PESO_NETO%/1000000)) & ""',CURRENT TIMESTAMP,1)";ELAB_PR
INSERT_UPDATE;LT_20170109122558;"UPDATE ELABELS.IMST_PESADAS SET PESADA_2 = ' & STR((PESO_NETO%/1000000)) & ""', PESADA_2_DATE = CURRENT TIMESTAMP , VECES_PESADA= "" & (STR(VAL(TRIM(GET_RECORD_FIELD(CONSULTA_1$,1,2)))+1)) & "" WHERE SN_CLIENTE='"" & TELEFONO_SN$ & ""'";ELAB_PR
SELECT;LT_20170215164358;"SELECT CODIGO FROM CARD.CON_SERIAL WHERE MSL_SN = ' & PULSERA_SN$ & ""'";CARDS_PR
SELECT;LT_20170215164358;"SELECT VECES_PESADA FROM ELABELS.AVA_PESADAS WHERE SN_CLIENTE = ' & PULSERA_SN$ & ""'";ELAB_PR
SELECT;LT_20170215164358;SELECT MEDIDA,TSTAMP,CURRENT TIME FROM ELABELS.AVA_BALANZA_LECTURA;ELAB_PR
SELECT;LT_20170215164358;SELECT MEDIDA,TSTAMP,CURRENT TIME FROM ELABELS.AVA_BALANZA_LECTURA;ELAB_PR
SELECT;LT_20170215164358;SELECT MEDIDA,TSTAMP,CURRENT TIME FROM ELABELS.AVA_BALANZA_LECTURA;ELAB_PR
SELECT;LT_20170215164358;"SELECT SN_CLIENTE,VECES_PESADA FROM ELABELS.AVA_PESADAS WHERE SN_CLIENTE=' & PULSERA_SN$ & ""'";ELAB_PR
INSERT_UPDATE;LT_20170215164358;UPDATE ELABELS.AVA_BALANZA_LECTURA SET MEDIDA ='';ELAB_PR
INSERT_UPDATE;LT_20170215164358;UPDATE ELABELS.AVA_BALANZA_LECTURA SET MEDIDA ='';ELAB_PR
INSERT_UPDATE;LT_20170215164358;UPDATE ELABELS.AVA_BALANZA_LECTURA SET MEDIDA ='';ELAB_PR
INSERT_UPDATE;LT_20170215164358;"INSERT INTO ELABELS.AVA_PESADAS(DIA_HORA,SN_CLIENTE,PESADA_1,PESADA_2,PESADA_2_DATE,VECES_PESADA) VALUES (CURRENT TIMESTAMP,' &  PULSERA_SN$ & ""','"" & STR((PESO_CAJA_VACIA%/1000000)) & ""','"" &  STR((PESO_NETO%/1000000)) & ""',CURRENT TIMESTAMP,1)";ELAB_PR
INSERT_UPDATE;LT_20170215164358;"UPDATE ELABELS.AVA_PESADAS SET  PESADA_1 = ' & STR((PESO_CAJA_VACIA%/1000000)) & ""', PESADA_2 = '"" & STR((PESO_NETO%/1000000)) & ""', PESADA_2_DATE = CURRENT TIMESTAMP , VECES_PESADA= "" & (STR(VAL(TRIM(GET_RECORD_FIELD(CONSULTA_1$,1,2)))+1)) & "" WHERE SN_CLIENTE='"" & PULSERA_SN$ & ""'";ELAB_PR
SELECT;LT_20170314120839;"SELECT PART_CODE FROM CARD.SNMFGCUST WHERE ETIQUETA = ' & SERIAL_CELESTICA$ & ""'";CARDS_PR
SELECT;LT_20170314120839;"SELECT ETIQUETA,CUSTSN FROM CARD.CMACID WHERE ETIQUETA = ' & SERIAL_CELESTICA$ & ""'";CARDS_PR
SELECT;LT_20170314120839;"SELECT CONTADOR_ID,CONTADOR FROM ELABELS.CONTADORES_VARIOS WHERE CONTADOR_ID = ' & #TEMPLATE_ID#$ & ""'";ELAB_PR
INSERT_UPDATE;LT_20170314120839;"INSERT INTO ELABELS.CONTADORES_VARIOS (CONTADOR_ID,CONTADOR,F_ARCHIVO) VALUES (' & #TEMPLATE_ID#$ & ""','0000000000','1')";ELAB_PR
INSERT_UPDATE;LT_20170314120839;"INSERT INTO CARD.CMACID (ETIQUETA,CUSTSN,MAC_ID,TSTAMP,F_ARCHIVO,BOXCUSTSN,USUARIO) VALUES (' & SERIAL_CELESTICA$ & ""','"" & REGISTRO_MAC$ & ""','"" & MAC_ADRESS_1$ & ""',CURRENT TIMESTAMP,'1','','"" & #USER#$ & ""')";CARDS_PR
INSERT_UPDATE;LT_20170314120839;"UPDATE ELABELS.CONTADORES_VARIOS SET CONTADOR =' & FORMAT(STR(CONTADOR_MAC% + 3),""0000000000"") & ""', F_ARCHIVO = '1' WHERE CONTADOR_ID = '"" & #TEMPLATE_ID#$ & ""'";ELAB_PR
SELECT;LT_20170505101014;"SELECT PN_CLIENTE FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE=' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20170516110136;"SELECT PNCORP,TRACE_CODE_LOTE FROM CARD.LABEL_I1 WHERE LABEL_ID = ' & RIGHT(ENTRADA_ID$,LEN(ENTRADA_ID$) - 2) & ""'";CARDS_PR
SELECT;LT_20170516110136;"SELECT PNCORP,TRACE_CODE_LOTE FROM CARD.LABEL_I1  WHERE LABEL_ID = ' & RIGHT(ID_CONSUMIBLE$,LEN(ID_CONSUMIBLE$) - 2) & ""'";CARDS_PR
